List,dec
c12,40.0%
c13,94.3%
c18,26.7%
c21,15.8%
c6,40.0%
c3,20.0%
c1,86.7%
c23,31.6%
c5,12.5%
c17,10.0%
c11,26.7%
c2,60.0%
c7,100.0%
c16,10.0%
c15,56.7%
c10,0.0%
c20,2.6%
c14,20.0%
c9,0.0%
c19,76.5%
c22,2.7%
c8,0.0%
c4,20.0%
Total,33.4%
