List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,10.0%
open_with,0.0%
text_empty,6.7%
share_with,94.2%
list+on_off,71.4%
advertisement+button,60.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,5.7%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,17.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,76.7%
popup_with_continue_as_name,74.3%
list,40.0%
camera,2.5%
picture,0.0%
popup,3.3%
navigation_menu,28.9%
input_form,0.0%
select_dialog,53.3%
calendar,3.3%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,32.5%
