List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,43.3%
open_with,55.6%
text_empty,10.0%
share_with,76.9%
list+on_off,94.3%
advertisement+button,55.0%
image_list,0.0%
popup_date,16.7%
movie,60.0%
menu_list,2.9%
translate_with_sound,100.0%
IME,10.0%
dialer,0.0%
translate,4.0%
image_view,30.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,80.0%
popup_with_continue_as_name,80.0%
list,2.5%
camera,10.0%
picture,53.3%
popup,3.3%
navigation_menu,26.7%
input_form,6.7%
select_dialog,43.3%
calendar,20.0%
text_image,3.3%
continue_button,7.1%
theme,77.3%
homescreen,0.0%
Total,33.7%
