List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,33.3%
open_with,2.2%
text_empty,3.3%
share_with,13.5%
list+on_off,94.3%
advertisement+button,2.5%
image_list,64.4%
popup_date,16.7%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,80.0%
popup_with_continue_as_name,2.9%
list,17.5%
camera,32.5%
picture,0.0%
popup,6.7%
navigation_menu,6.7%
input_form,0.0%
select_dialog,0.0%
calendar,16.7%
text_image,3.3%
continue_button,2.4%
theme,77.3%
homescreen,0.0%
Total,23.0%
