List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,16.7%
open_with,0.0%
text_empty,6.7%
share_with,94.2%
list+on_off,91.4%
advertisement+button,15.0%
image_list,55.6%
popup_date,0.0%
movie,16.7%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,60.0%
translate,0.0%
image_view,2.5%
location_selection,16.7%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,43.3%
popup_with_continue_as_name,0.0%
list,2.5%
camera,45.0%
picture,0.0%
popup,16.7%
navigation_menu,2.2%
input_form,0.0%
select_dialog,3.3%
calendar,43.3%
text_image,23.3%
continue_button,2.4%
theme,4.5%
homescreen,20.0%
Total,23.4%
