List,dec
r31,0.0%
r7,100.0%
r10,20.0%
r21,0.0%
r34,48.6%
r4,20.0%
r33,100.0%
r12,6.7%
r13,40.0%
r6,97.1%
r29,0.0%
r3,6.7%
r24,5.0%
r32,0.0%
r16,26.7%
r28,0.0%
r25,56.7%
r23,16.7%
r18,3.3%
r11,73.3%
r27,0.0%
r5,37.5%
r17,3.3%
r19,100.0%
r8,66.7%
r1,6.7%
r30,36.7%
r22,4.8%
r26,53.3%
r9,18.2%
r14,37.8%
r2,2.5%
r20,40.0%
r15,73.3%
Total,33.6%
