List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,23.3%
open_with,2.2%
text_empty,13.3%
share_with,94.2%
list+on_off,71.4%
advertisement+button,60.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,17.5%
camera,2.5%
picture,0.0%
popup,16.7%
navigation_menu,17.8%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,16.7%
continue_button,2.4%
theme,4.5%
homescreen,0.0%
Total,32.0%
