List,dec
text+button,22.2%
popup_with_access,0.0%
text_only,10.0%
open_with,4.4%
text_empty,6.7%
share_with,94.2%
list+on_off,71.4%
advertisement+button,25.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,40.0%
camera,2.5%
picture,0.0%
popup,20.0%
navigation_menu,13.3%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,3.3%
continue_button,2.4%
theme,4.5%
homescreen,0.0%
Total,30.4%
