List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,23.3%
r10,0.0%,0.0%
r21,75.0%,0.0%
r34,20.0%,20.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,16.7%,16.7%
r13,88.6%,88.6%
r6,88.6%,91.4%
r29,90.4%,90.4%
r3,0.0%,0.0%
r24,0.0%,15.0%
r32,100.0%,100.0%
r16,43.3%,43.3%
r28,66.7%,66.7%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,33.3%,30.0%
r11,73.3%,73.3%
r27,96.0%,96.0%
r5,25.0%,25.0%
r17,0.0%,20.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,73.3%,73.3%
r30,0.0%,0.0%
r22,23.8%,23.8%
r26,0.0%,0.0%
r9,100.0%,0.0%
r14,0.0%,0.0%
r2,30.0%,35.0%
r20,25.0%,32.5%
r15,83.3%,83.3%
Total,48.5%,45.8%
