List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,76.7%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,14.3%,0.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,0.0%,40.0%
r13,77.1%,77.1%
r6,91.4%,71.4%
r29,96.2%,96.2%
r3,0.0%,0.0%
r24,25.0%,25.0%
r32,100.0%,100.0%
r16,46.7%,46.7%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,11.1%,0.0%
r18,26.7%,0.0%
r11,55.6%,22.2%
r27,0.0%,0.0%
r5,0.0%,27.5%
r17,0.0%,26.7%
r19,100.0%,100.0%
r8,0.0%,0.0%
r1,86.7%,83.3%
r30,23.3%,0.0%
r22,0.0%,7.1%
r26,60.0%,40.0%
r9,100.0%,100.0%
r14,31.1%,33.3%
r2,35.0%,62.5%
r20,20.0%,20.0%
r15,0.0%,63.3%
Total,43.2%,46.5%
