List,gaussian_mixture,kmeans
r31,0.0%,83.3%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,62.9%,22.9%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,71.4%
r29,94.2%,94.2%
r3,0.0%,0.0%
r24,30.0%,32.5%
r32,96.7%,96.7%
r16,0.0%,0.0%
r28,24.4%,93.3%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,10.0%,0.0%
r11,17.8%,22.2%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,13.3%,0.0%
r19,0.0%,0.0%
r8,0.0%,83.3%
r1,70.0%,16.7%
r30,23.3%,26.7%
r22,2.4%,2.4%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,0.0%,0.0%
r2,35.0%,35.0%
r20,32.5%,32.5%
r15,93.3%,93.3%
Total,42.9%,45.0%
