List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,76.7%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,20.0%,14.3%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,48.6%,48.6%
r6,91.4%,91.4%
r29,100.0%,96.2%
r3,0.0%,0.0%
r24,0.0%,30.0%
r32,80.0%,0.0%
r16,46.7%,23.3%
r28,100.0%,97.8%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,23.3%,36.7%
r11,55.6%,55.6%
r27,96.0%,96.0%
r5,45.0%,45.0%
r17,10.0%,0.0%
r19,0.0%,0.0%
r8,66.7%,66.7%
r1,80.0%,86.7%
r30,10.0%,0.0%
r22,7.1%,4.8%
r26,0.0%,40.0%
r9,0.0%,0.0%
r14,8.9%,17.8%
r2,85.0%,55.0%
r20,32.5%,32.5%
r15,73.3%,83.3%
Total,46.3%,46.2%
