List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,0.0%,75.0%
r34,14.3%,14.3%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,94.2%,94.2%
r3,0.0%,0.0%
r24,27.5%,2.5%
r32,0.0%,0.0%
r16,40.0%,40.0%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,23.3%,16.7%
r11,26.7%,42.2%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,20.0%,0.0%
r19,0.0%,0.0%
r8,83.3%,83.3%
r1,16.7%,76.7%
r30,13.3%,23.3%
r22,0.0%,4.8%
r26,0.0%,60.0%
r9,100.0%,0.0%
r14,28.9%,0.0%
r2,85.0%,85.0%
r20,72.5%,20.0%
r15,83.3%,80.0%
Total,48.9%,45.9%
