List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,75.0%,0.0%
r34,0.0%,25.7%
r4,0.0%,30.0%
r33,100.0%,100.0%
r12,40.0%,43.3%
r13,97.1%,97.1%
r6,91.4%,91.4%
r29,86.5%,84.6%
r3,0.0%,0.0%
r24,17.5%,22.5%
r32,0.0%,0.0%
r16,46.7%,23.3%
r28,100.0%,100.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,23.3%,26.7%
r11,31.1%,31.1%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,30.0%,6.7%
r19,0.0%,0.0%
r8,73.3%,73.3%
r1,76.7%,76.7%
r30,0.0%,0.0%
r22,19.0%,19.0%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,4.4%,0.0%
r2,82.5%,82.5%
r20,57.5%,35.0%
r15,0.0%,0.0%
Total,47.4%,45.8%
