List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,10.0%
open_with,4.4%
text_empty,23.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,55.0%
image_list,64.4%
popup_date,0.0%
movie,6.7%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,17.5%
camera,2.5%
picture,40.0%
popup,0.0%
navigation_menu,6.7%
input_form,13.3%
select_dialog,0.0%
calendar,96.7%
text_image,13.3%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,24.1%
