List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,70.0%
open_with,0.0%
text_empty,0.0%
share_with,94.2%
list+on_off,31.4%
advertisement+button,75.0%
image_list,2.2%
popup_date,16.7%
movie,50.0%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,20.0%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,10.0%
camera,2.5%
picture,0.0%
popup,3.3%
navigation_menu,15.6%
input_form,3.3%
select_dialog,36.7%
calendar,0.0%
text_image,20.0%
continue_button,4.8%
theme,0.0%
homescreen,20.0%
Total,24.8%
