List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,3.3%
open_with,55.6%
text_empty,23.3%
share_with,3.8%
list+on_off,91.4%
advertisement+button,57.5%
image_list,66.7%
popup_date,0.0%
movie,30.0%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,0.0%
image_view,7.5%
location_selection,16.7%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,11.4%
list,7.5%
camera,32.5%
picture,13.3%
popup,3.3%
navigation_menu,11.1%
input_form,40.0%
select_dialog,60.0%
calendar,0.0%
text_image,6.7%
continue_button,7.1%
theme,95.5%
homescreen,0.0%
Total,25.7%
