type,ARI,NMI,Purity
seq2seq & real,0.189,0.474,0.281
Tree & real,0.192,0.474,0.279
seq2seq & semantic,0.343,0.605,0.44
Tree & semantic,0.34,0.605,0.438
seq2seq & Rico,0.352,0.593,0.45
Tree & Rico,0.449,0.654,0.506
