List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,23.3%
open_with,2.2%
text_empty,3.3%
share_with,94.2%
list+on_off,71.4%
advertisement+button,27.5%
image_list,66.7%
popup_date,0.0%
movie,6.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,35.0%
camera,2.5%
picture,0.0%
popup,26.7%
navigation_menu,2.2%
input_form,0.0%
select_dialog,3.3%
calendar,90.0%
text_image,6.7%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,30.0%
