List,dec
text+button,11.1%
popup_with_access,83.3%
text_only,3.3%
open_with,80.0%
text_empty,6.7%
share_with,80.8%
list+on_off,94.3%
advertisement+button,2.5%
image_list,55.6%
popup_date,16.7%
movie,33.3%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,62.5%
camera,92.5%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,36.7%
select_dialog,36.7%
calendar,80.0%
text_image,3.3%
continue_button,11.9%
theme,18.2%
homescreen,0.0%
Total,32.5%
