List,dec
text+button,0.0%
popup_with_access,80.0%
text_only,13.3%
open_with,2.2%
text_empty,6.7%
share_with,84.6%
list+on_off,91.4%
advertisement+button,72.5%
image_list,40.0%
popup_date,0.0%
movie,3.3%
menu_list,2.9%
translate_with_sound,100.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,2.5%
camera,90.0%
picture,53.3%
popup,10.0%
navigation_menu,62.2%
input_form,13.3%
select_dialog,6.7%
calendar,0.0%
text_image,10.0%
continue_button,7.1%
theme,95.5%
homescreen,0.0%
Total,36.8%
