List,dec
text+button,22.2%
popup_with_access,3.3%
text_only,30.0%
open_with,2.2%
text_empty,10.0%
share_with,1.9%
list+on_off,65.7%
advertisement+button,60.0%
image_list,64.4%
popup_date,16.7%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,5.7%
list,2.5%
camera,57.5%
picture,0.0%
popup,10.0%
navigation_menu,4.4%
input_form,10.0%
select_dialog,53.3%
calendar,90.0%
text_image,10.0%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,28.9%
