List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,10.0%
open_with,35.6%
text_empty,10.0%
share_with,80.8%
list+on_off,94.3%
advertisement+button,45.0%
image_list,66.7%
popup_date,16.7%
movie,26.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,17.1%
pinpoint_location,6.7%
popup_with_continue_as_name,82.9%
list,52.5%
camera,0.0%
picture,0.0%
popup,13.3%
navigation_menu,55.6%
input_form,6.7%
select_dialog,33.3%
calendar,0.0%
text_image,6.7%
continue_button,9.5%
theme,18.2%
homescreen,40.0%
Total,33.0%
