List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,16.7%
open_with,0.0%
text_empty,6.7%
share_with,92.3%
list+on_off,71.4%
advertisement+button,85.0%
image_list,2.2%
popup_date,0.0%
movie,6.7%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,77.5%
camera,5.0%
picture,53.3%
popup,16.7%
navigation_menu,2.2%
input_form,6.7%
select_dialog,50.0%
calendar,66.7%
text_image,3.3%
continue_button,28.6%
theme,77.3%
homescreen,0.0%
Total,33.6%
