List,dec
text+button,11.1%
popup_with_access,76.7%
text_only,6.7%
open_with,17.8%
text_empty,23.3%
share_with,94.2%
list+on_off,91.4%
advertisement+button,27.5%
image_list,17.8%
popup_date,0.0%
movie,30.0%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,92.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,25.0%
camera,12.5%
picture,53.3%
popup,3.3%
navigation_menu,11.1%
input_form,40.0%
select_dialog,0.0%
calendar,0.0%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,20.0%
Total,27.6%
