List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,10.0%
open_with,2.2%
text_empty,23.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,82.5%
image_list,20.0%
popup_date,0.0%
movie,10.0%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,3.3%
popup_with_continue_as_name,82.9%
list,20.0%
camera,90.0%
picture,6.7%
popup,6.7%
navigation_menu,20.0%
input_form,13.3%
select_dialog,0.0%
calendar,0.0%
text_image,10.0%
continue_button,7.1%
theme,0.0%
homescreen,20.0%
Total,26.9%
