List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,13.3%
open_with,0.0%
text_empty,40.0%
share_with,94.2%
list+on_off,37.1%
advertisement+button,82.5%
image_list,0.0%
popup_date,0.0%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,77.5%
camera,35.0%
picture,0.0%
popup,3.3%
navigation_menu,4.4%
input_form,3.3%
select_dialog,0.0%
calendar,6.7%
text_image,3.3%
continue_button,31.0%
theme,95.5%
homescreen,20.0%
Total,32.6%
