List,dec
text+button,27.8%
popup_with_access,3.3%
text_only,10.0%
open_with,80.0%
text_empty,13.3%
share_with,1.9%
list+on_off,91.4%
advertisement+button,85.0%
image_list,2.2%
popup_date,0.0%
movie,23.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,25.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,17.5%
camera,20.0%
picture,86.7%
popup,3.3%
navigation_menu,8.9%
input_form,3.3%
select_dialog,0.0%
calendar,0.0%
text_image,10.0%
continue_button,7.1%
theme,95.5%
homescreen,20.0%
Total,24.5%
