List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,23.3%
open_with,4.4%
text_empty,10.0%
share_with,94.2%
list+on_off,5.7%
advertisement+button,60.0%
image_list,66.7%
popup_date,16.7%
movie,36.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,0.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,72.5%
camera,0.0%
picture,6.7%
popup,6.7%
navigation_menu,8.9%
input_form,6.7%
select_dialog,56.7%
calendar,90.0%
text_image,6.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,28.5%
