List,dec
text+button,22.2%
popup_with_access,3.3%
text_only,23.3%
open_with,4.4%
text_empty,10.0%
share_with,94.2%
list+on_off,71.4%
advertisement+button,60.0%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,100.0%
IME,0.0%
dialer,13.3%
translate,0.0%
image_view,17.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,6.7%
popup_with_continue_as_name,0.0%
list,25.0%
camera,35.0%
picture,0.0%
popup,16.7%
navigation_menu,4.4%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,6.7%
continue_button,7.1%
theme,77.3%
homescreen,0.0%
Total,32.3%
