List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,23.3%
open_with,0.0%
text_empty,16.7%
share_with,94.2%
list+on_off,71.4%
advertisement+button,60.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,82.9%
translate_with_sound,100.0%
IME,20.0%
dialer,0.0%
translate,0.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,76.7%
popup_with_continue_as_name,74.3%
list,27.5%
camera,0.0%
picture,6.7%
popup,3.3%
navigation_menu,28.9%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,6.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,34.2%
