List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,56.7%
open_with,53.3%
text_empty,6.7%
share_with,76.9%
list+on_off,94.3%
advertisement+button,15.0%
image_list,64.4%
popup_date,50.0%
movie,3.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,30.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,17.5%
camera,57.5%
picture,53.3%
popup,6.7%
navigation_menu,4.4%
input_form,0.0%
select_dialog,56.7%
calendar,53.3%
text_image,6.7%
continue_button,7.1%
theme,18.2%
homescreen,0.0%
Total,31.8%
