List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,13.3%
open_with,0.0%
text_empty,20.0%
share_with,94.2%
list+on_off,20.0%
advertisement+button,85.0%
image_list,20.0%
popup_date,33.3%
movie,3.3%
menu_list,2.9%
translate_with_sound,5.9%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,50.0%
camera,0.0%
picture,0.0%
popup,10.0%
navigation_menu,2.2%
input_form,3.3%
select_dialog,86.7%
calendar,86.7%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,30.6%
