List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,20.0%
open_with,53.3%
text_empty,10.0%
share_with,76.9%
list+on_off,71.4%
advertisement+button,67.5%
image_list,22.2%
popup_date,50.0%
movie,63.3%
menu_list,5.7%
translate_with_sound,76.5%
IME,20.0%
dialer,6.7%
translate,28.0%
image_view,20.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,2.5%
camera,2.5%
picture,0.0%
popup,3.3%
navigation_menu,31.1%
input_form,0.0%
select_dialog,26.7%
calendar,10.0%
text_image,13.3%
continue_button,4.8%
theme,4.5%
homescreen,0.0%
Total,30.0%
