List,dec
text+button,22.2%
popup_with_access,3.3%
text_only,23.3%
open_with,2.2%
text_empty,10.0%
share_with,94.2%
list+on_off,71.4%
advertisement+button,60.0%
image_list,66.7%
popup_date,0.0%
movie,6.7%
menu_list,82.9%
translate_with_sound,100.0%
IME,0.0%
dialer,6.7%
translate,0.0%
image_view,17.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,6.7%
popup_with_continue_as_name,0.0%
list,15.0%
camera,35.0%
picture,0.0%
popup,30.0%
navigation_menu,28.9%
input_form,3.3%
select_dialog,36.7%
calendar,90.0%
text_image,3.3%
continue_button,0.0%
theme,0.0%
homescreen,0.0%
Total,28.6%
