List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,60.0%
open_with,57.8%
text_empty,6.7%
share_with,17.3%
list+on_off,94.3%
advertisement+button,12.5%
image_list,64.4%
popup_date,0.0%
movie,3.3%
menu_list,40.0%
translate_with_sound,94.1%
IME,0.0%
dialer,0.0%
translate,4.0%
image_view,35.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,20.0%
pinpoint_location,80.0%
popup_with_continue_as_name,2.9%
list,2.5%
camera,0.0%
picture,53.3%
popup,46.7%
navigation_menu,33.3%
input_form,10.0%
select_dialog,0.0%
calendar,53.3%
text_image,3.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,29.0%
