List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,13.3%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,2.9%
advertisement+button,2.5%
image_list,37.8%
popup_date,0.0%
movie,3.3%
menu_list,80.0%
translate_with_sound,0.0%
IME,30.0%
dialer,13.3%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,2.9%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,17.5%
camera,90.0%
picture,53.3%
popup,6.7%
navigation_menu,4.4%
input_form,10.0%
select_dialog,3.3%
calendar,3.3%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,22.6%
