List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,56.7%
open_with,28.9%
text_empty,63.3%
share_with,80.8%
list+on_off,91.4%
advertisement+button,92.5%
image_list,4.4%
popup_date,16.7%
movie,60.0%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,5.0%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,80.0%
popup_with_continue_as_name,2.9%
list,17.5%
camera,47.5%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,10.0%
select_dialog,63.3%
calendar,20.0%
text_image,3.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,33.7%
