List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,62.9%,62.9%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,33.3%,13.3%
r13,34.3%,40.0%
r6,97.1%,97.1%
r29,0.0%,86.5%
r3,73.3%,73.3%
r24,17.5%,5.0%
r32,0.0%,100.0%
r16,0.0%,0.0%
r28,42.2%,42.2%
r25,0.0%,13.3%
r23,16.7%,0.0%
r18,20.0%,20.0%
r11,4.4%,13.3%
r27,96.0%,96.0%
r5,5.0%,5.0%
r17,0.0%,20.0%
r19,0.0%,100.0%
r8,93.3%,93.3%
r1,70.0%,0.0%
r30,46.7%,0.0%
r22,11.9%,2.4%
r26,26.7%,0.0%
r9,13.6%,31.8%
r14,0.0%,0.0%
r2,47.5%,12.5%
r20,37.5%,7.5%
r15,26.7%,26.7%
Total,27.2%,33.7%
