List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,76.7%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,51.4%,2.9%
r4,0.0%,10.0%
r33,0.0%,100.0%
r12,40.0%,40.0%
r13,40.0%,40.0%
r6,71.4%,0.0%
r29,32.7%,38.5%
r3,6.7%,13.3%
r24,15.0%,15.0%
r32,96.7%,96.7%
r16,36.7%,36.7%
r28,42.2%,75.6%
r25,83.3%,3.3%
r23,5.6%,0.0%
r18,3.3%,23.3%
r11,22.2%,24.4%
r27,96.0%,96.0%
r5,20.0%,42.5%
r17,26.7%,6.7%
r19,0.0%,0.0%
r8,6.7%,83.3%
r1,70.0%,70.0%
r30,13.3%,23.3%
r22,2.4%,2.4%
r26,40.0%,40.0%
r9,0.0%,0.0%
r14,48.9%,26.7%
r2,55.0%,25.0%
r20,75.0%,20.0%
r15,0.0%,66.7%
Total,34.5%,36.0%
