List,gaussian_mixture,kmeans
r31,33.3%,50.0%
r7,0.0%,100.0%
r10,0.0%,40.0%
r21,75.0%,0.0%
r34,28.6%,5.7%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,43.3%,0.0%
r13,2.9%,42.9%
r6,97.1%,0.0%
r29,13.5%,13.5%
r3,86.7%,6.7%
r24,17.5%,20.0%
r32,0.0%,100.0%
r16,0.0%,0.0%
r28,24.4%,24.4%
r25,16.7%,53.3%
r23,0.0%,0.0%
r18,6.7%,20.0%
r11,2.2%,22.2%
r27,96.0%,100.0%
r5,5.0%,0.0%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,96.7%,93.3%
r1,76.7%,73.3%
r30,36.7%,30.0%
r22,7.1%,2.4%
r26,0.0%,0.0%
r9,0.0%,0.0%
r14,62.2%,46.7%
r2,47.5%,0.0%
r20,50.0%,5.0%
r15,26.7%,26.7%
Total,27.9%,29.2%
