List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,100.0%
r10,40.0%,0.0%
r21,75.0%,75.0%
r34,14.3%,0.0%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,6.7%
r13,94.3%,94.3%
r6,91.4%,97.1%
r29,0.0%,0.0%
r3,6.7%,6.7%
r24,7.5%,5.0%
r32,0.0%,0.0%
r16,46.7%,33.3%
r28,42.2%,57.8%
r25,83.3%,6.7%
r23,27.8%,27.8%
r18,20.0%,20.0%
r11,73.3%,73.3%
r27,96.0%,96.0%
r5,25.0%,55.0%
r17,33.3%,13.3%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,0.0%,0.0%
r30,23.3%,23.3%
r22,11.9%,2.4%
r26,40.0%,40.0%
r9,100.0%,100.0%
r14,53.3%,8.9%
r2,60.0%,65.0%
r20,27.5%,20.0%
r15,0.0%,0.0%
Total,38.3%,37.3%
