List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,0.0%
r10,20.0%,60.0%
r21,75.0%,0.0%
r34,28.6%,60.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,6.7%,40.0%
r13,45.7%,8.6%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,0.0%,73.3%
r24,22.5%,2.5%
r32,100.0%,100.0%
r16,6.7%,36.7%
r28,24.4%,75.6%
r25,16.7%,30.0%
r23,0.0%,11.1%
r18,6.7%,26.7%
r11,17.8%,22.2%
r27,96.0%,96.0%
r5,25.0%,25.0%
r17,3.3%,0.0%
r19,0.0%,100.0%
r8,0.0%,0.0%
r1,0.0%,0.0%
r30,10.0%,13.3%
r22,4.8%,0.0%
r26,0.0%,0.0%
r9,0.0%,0.0%
r14,57.8%,62.2%
r2,50.0%,47.5%
r20,40.0%,37.5%
r15,13.3%,20.0%
Total,28.7%,35.7%
