List,gaussian_mixture,kmeans
r31,33.3%,0.0%
r7,76.7%,76.7%
r10,40.0%,20.0%
r21,0.0%,0.0%
r34,22.9%,34.3%
r4,20.0%,10.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,42.9%,40.0%
r6,51.4%,40.0%
r29,38.5%,9.6%
r3,6.7%,6.7%
r24,5.0%,15.0%
r32,96.7%,96.7%
r16,13.3%,40.0%
r28,24.4%,42.2%
r25,83.3%,83.3%
r23,11.1%,0.0%
r18,6.7%,23.3%
r11,31.1%,31.1%
r27,96.0%,4.0%
r5,25.0%,42.5%
r17,3.3%,23.3%
r19,0.0%,100.0%
r8,86.7%,83.3%
r1,70.0%,70.0%
r30,0.0%,3.3%
r22,2.4%,4.8%
r26,0.0%,40.0%
r9,100.0%,100.0%
r14,37.8%,11.1%
r2,30.0%,30.0%
r20,72.5%,0.0%
r15,6.7%,80.0%
Total,39.2%,35.5%
