List,gaussian_mixture,kmeans
r31,50.0%,66.7%
r7,0.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,57.1%,31.4%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,40.0%,42.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,0.0%,6.7%
r24,7.5%,2.5%
r32,100.0%,100.0%
r16,33.3%,0.0%
r28,24.4%,75.6%
r25,53.3%,23.3%
r23,11.1%,0.0%
r18,20.0%,6.7%
r11,8.9%,20.0%
r27,96.0%,96.0%
r5,5.0%,5.0%
r17,6.7%,6.7%
r19,100.0%,0.0%
r8,96.7%,93.3%
r1,60.0%,76.7%
r30,3.3%,0.0%
r22,2.4%,7.1%
r26,13.3%,0.0%
r9,9.1%,0.0%
r14,53.3%,62.2%
r2,45.0%,37.5%
r20,12.5%,10.0%
r15,0.0%,26.7%
Total,34.1%,34.0%
