List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,26.7%,73.3%
r10,0.0%,20.0%
r21,75.0%,100.0%
r34,57.1%,0.0%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,23.3%,16.7%
r13,94.3%,94.3%
r6,0.0%,91.4%
r29,100.0%,9.6%
r3,6.7%,6.7%
r24,2.5%,15.0%
r32,0.0%,0.0%
r16,46.7%,23.3%
r28,57.8%,42.2%
r25,83.3%,83.3%
r23,0.0%,16.7%
r18,13.3%,16.7%
r11,73.3%,22.2%
r27,0.0%,96.0%
r5,55.0%,27.5%
r17,10.0%,36.7%
r19,0.0%,0.0%
r8,83.3%,86.7%
r1,96.7%,96.7%
r30,20.0%,20.0%
r22,19.0%,2.4%
r26,60.0%,40.0%
r9,100.0%,0.0%
r14,55.6%,0.0%
r2,60.0%,0.0%
r20,20.0%,75.0%
r15,0.0%,0.0%
Total,44.7%,36.2%
