List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,100.0%,0.0%
r34,80.0%,42.9%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,20.0%,40.0%
r13,48.6%,48.6%
r6,91.4%,0.0%
r29,90.4%,90.4%
r3,6.7%,6.7%
r24,5.0%,15.0%
r32,100.0%,100.0%
r16,50.0%,46.7%
r28,42.2%,57.8%
r25,83.3%,83.3%
r23,5.6%,0.0%
r18,36.7%,33.3%
r11,22.2%,73.3%
r27,96.0%,96.0%
r5,55.0%,55.0%
r17,46.7%,26.7%
r19,0.0%,0.0%
r8,83.3%,83.3%
r1,70.0%,70.0%
r30,6.7%,16.7%
r22,11.9%,14.3%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,11.1%,44.4%
r2,52.5%,50.0%
r20,20.0%,20.0%
r15,0.0%,3.3%
Total,48.8%,48.6%
