List,gaussian_mixture,kmeans
r31,66.7%,0.0%
r7,100.0%,0.0%
r10,40.0%,40.0%
r21,0.0%,0.0%
r34,31.4%,5.7%
r4,10.0%,0.0%
r33,0.0%,100.0%
r12,6.7%,3.3%
r13,42.9%,31.4%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,73.3%,6.7%
r24,5.0%,2.5%
r32,100.0%,100.0%
r16,6.7%,10.0%
r28,24.4%,57.8%
r25,13.3%,13.3%
r23,5.6%,5.6%
r18,3.3%,3.3%
r11,11.1%,13.3%
r27,100.0%,96.0%
r5,2.5%,5.0%
r17,0.0%,10.0%
r19,100.0%,0.0%
r8,93.3%,93.3%
r1,6.7%,76.7%
r30,43.3%,50.0%
r22,2.4%,2.4%
r26,40.0%,13.3%
r9,0.0%,31.8%
r14,57.8%,44.4%
r2,50.0%,5.0%
r20,0.0%,27.5%
r15,0.0%,0.0%
Total,27.8%,30.3%
