List,gaussian_mixture,kmeans
r31,33.3%,0.0%
r7,76.7%,76.7%
r10,20.0%,20.0%
r21,0.0%,0.0%
r34,11.4%,28.6%
r4,0.0%,20.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,17.1%,40.0%
r6,31.4%,57.1%
r29,32.7%,32.7%
r3,13.3%,6.7%
r24,15.0%,15.0%
r32,96.7%,96.7%
r16,40.0%,30.0%
r28,33.3%,42.2%
r25,83.3%,83.3%
r23,5.6%,16.7%
r18,26.7%,26.7%
r11,22.2%,31.1%
r27,100.0%,4.0%
r5,20.0%,42.5%
r17,13.3%,10.0%
r19,0.0%,100.0%
r8,80.0%,60.0%
r1,70.0%,70.0%
r30,30.0%,3.3%
r22,4.8%,11.9%
r26,60.0%,60.0%
r9,0.0%,100.0%
r14,6.7%,17.8%
r2,45.0%,45.0%
r20,20.0%,47.5%
r15,60.0%,63.3%
Total,36.8%,39.1%
