List,gaussian_mixture,kmeans
r31,0.0%,33.3%
r7,76.7%,76.7%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,5.7%,5.7%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,48.6%,48.6%
r6,97.1%,94.3%
r29,50.0%,9.6%
r3,20.0%,6.7%
r24,7.5%,15.0%
r32,100.0%,96.7%
r16,36.7%,36.7%
r28,100.0%,0.0%
r25,3.3%,80.0%
r23,22.2%,5.6%
r18,3.3%,23.3%
r11,48.9%,24.4%
r27,96.0%,96.0%
r5,27.5%,27.5%
r17,16.7%,10.0%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,70.0%,70.0%
r30,30.0%,30.0%
r22,2.4%,4.8%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,37.8%,4.4%
r2,42.5%,42.5%
r20,75.0%,47.5%
r15,80.0%,0.0%
Total,45.0%,37.4%
