List,gaussian_mixture,kmeans
r31,83.3%,0.0%
r7,73.3%,26.7%
r10,0.0%,40.0%
r21,0.0%,100.0%
r34,20.0%,8.6%
r4,20.0%,10.0%
r33,0.0%,100.0%
r12,23.3%,13.3%
r13,5.7%,94.3%
r6,42.9%,2.9%
r29,0.0%,0.0%
r3,0.0%,6.7%
r24,20.0%,15.0%
r32,0.0%,0.0%
r16,26.7%,43.3%
r28,57.8%,57.8%
r25,80.0%,6.7%
r23,11.1%,16.7%
r18,23.3%,6.7%
r11,73.3%,73.3%
r27,96.0%,96.0%
r5,25.0%,35.0%
r17,3.3%,0.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,96.7%
r30,10.0%,20.0%
r22,23.8%,23.8%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,66.7%,66.7%
r2,62.5%,32.5%
r20,20.0%,47.5%
r15,93.3%,0.0%
Total,35.3%,37.2%
