List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,20.0%
r21,75.0%,0.0%
r34,17.1%,8.6%
r4,10.0%,0.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,40.0%,8.6%
r6,94.3%,71.4%
r29,32.7%,36.5%
r3,6.7%,6.7%
r24,15.0%,15.0%
r32,96.7%,96.7%
r16,6.7%,36.7%
r28,75.6%,42.2%
r25,3.3%,83.3%
r23,11.1%,5.6%
r18,13.3%,23.3%
r11,24.4%,48.9%
r27,96.0%,96.0%
r5,42.5%,42.5%
r17,3.3%,3.3%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,70.0%,70.0%
r30,6.7%,26.7%
r22,4.8%,9.5%
r26,0.0%,0.0%
r9,0.0%,100.0%
r14,46.7%,6.7%
r2,45.0%,32.5%
r20,47.5%,20.0%
r15,40.0%,20.0%
Total,37.4%,35.8%
