List,gaussian_mixture,kmeans
r31,0.0%,50.0%
r7,76.7%,23.3%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,71.4%,22.9%
r4,10.0%,20.0%
r33,100.0%,100.0%
r12,6.7%,40.0%
r13,45.7%,45.7%
r6,5.7%,40.0%
r29,17.3%,32.7%
r3,6.7%,6.7%
r24,12.5%,17.5%
r32,96.7%,96.7%
r16,10.0%,30.0%
r28,42.2%,33.3%
r25,80.0%,80.0%
r23,11.1%,16.7%
r18,6.7%,23.3%
r11,31.1%,48.9%
r27,4.0%,96.0%
r5,35.0%,42.5%
r17,16.7%,3.3%
r19,100.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,0.0%,16.7%
r22,4.8%,2.4%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,28.9%,44.4%
r2,30.0%,32.5%
r20,20.0%,20.0%
r15,76.7%,80.0%
Total,38.0%,42.0%
