List,gaussian_mixture,kmeans
r31,66.7%,66.7%
r7,100.0%,0.0%
r10,60.0%,20.0%
r21,0.0%,0.0%
r34,8.6%,54.3%
r4,10.0%,0.0%
r33,0.0%,0.0%
r12,3.3%,0.0%
r13,14.3%,40.0%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,0.0%,73.3%
r24,17.5%,15.0%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,57.8%,57.8%
r25,13.3%,10.0%
r23,5.6%,11.1%
r18,3.3%,13.3%
r11,2.2%,17.8%
r27,100.0%,100.0%
r5,27.5%,27.5%
r17,3.3%,0.0%
r19,100.0%,100.0%
r8,93.3%,0.0%
r1,0.0%,73.3%
r30,43.3%,50.0%
r22,2.4%,14.3%
r26,26.7%,20.0%
r9,4.5%,0.0%
r14,66.7%,60.0%
r2,52.5%,17.5%
r20,10.0%,37.5%
r15,0.0%,0.0%
Total,28.0%,31.7%
