List,gaussian_mixture,kmeans
r31,16.7%,0.0%
r7,100.0%,100.0%
r10,0.0%,40.0%
r21,75.0%,75.0%
r34,14.3%,14.3%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,26.7%
r13,94.3%,94.3%
r6,97.1%,97.1%
r29,100.0%,0.0%
r3,6.7%,6.7%
r24,15.0%,15.0%
r32,0.0%,0.0%
r16,40.0%,46.7%
r28,100.0%,42.2%
r25,83.3%,83.3%
r23,16.7%,33.3%
r18,20.0%,20.0%
r11,73.3%,0.0%
r27,4.0%,96.0%
r5,55.0%,7.5%
r17,36.7%,13.3%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,0.0%,0.0%
r30,13.3%,0.0%
r22,11.9%,11.9%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,46.7%,6.7%
r2,32.5%,60.0%
r20,20.0%,0.0%
r15,0.0%,0.0%
Total,45.4%,34.9%
