List,gaussian_mixture,kmeans
r31,66.7%,50.0%
r7,0.0%,0.0%
r10,20.0%,0.0%
r21,75.0%,0.0%
r34,48.6%,48.6%
r4,0.0%,0.0%
r33,0.0%,0.0%
r12,40.0%,6.7%
r13,8.6%,40.0%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,0.0%,73.3%
r24,2.5%,32.5%
r32,100.0%,100.0%
r16,6.7%,3.3%
r28,33.3%,42.2%
r25,3.3%,10.0%
r23,5.6%,0.0%
r18,23.3%,10.0%
r11,2.2%,22.2%
r27,96.0%,96.0%
r5,5.0%,27.5%
r17,6.7%,6.7%
r19,0.0%,0.0%
r8,90.0%,0.0%
r1,16.7%,20.0%
r30,46.7%,6.7%
r22,7.1%,4.8%
r26,0.0%,6.7%
r9,22.7%,0.0%
r14,57.8%,0.0%
r2,50.0%,27.5%
r20,37.5%,22.5%
r15,26.7%,0.0%
Total,29.3%,23.5%
