List,gaussian_mixture,kmeans
r31,50.0%,0.0%
r7,23.3%,23.3%
r10,0.0%,40.0%
r21,100.0%,100.0%
r34,22.9%,80.0%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,10.0%,10.0%
r13,48.6%,48.6%
r6,91.4%,91.4%
r29,0.0%,100.0%
r3,0.0%,6.7%
r24,2.5%,15.0%
r32,96.7%,100.0%
r16,36.7%,36.7%
r28,42.2%,42.2%
r25,83.3%,83.3%
r23,33.3%,11.1%
r18,20.0%,20.0%
r11,22.2%,73.3%
r27,96.0%,96.0%
r5,25.0%,40.0%
r17,16.7%,40.0%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,70.0%,70.0%
r30,3.3%,3.3%
r22,14.3%,2.4%
r26,0.0%,0.0%
r9,100.0%,0.0%
r14,53.3%,17.8%
r2,60.0%,50.0%
r20,75.0%,0.0%
r15,76.7%,80.0%
Total,41.2%,46.9%
