List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,31.4%,57.1%
r4,0.0%,20.0%
r33,0.0%,100.0%
r12,0.0%,40.0%
r13,5.7%,34.3%
r6,97.1%,97.1%
r29,86.5%,73.1%
r3,73.3%,80.0%
r24,22.5%,7.5%
r32,100.0%,100.0%
r16,80.0%,80.0%
r28,42.2%,24.4%
r25,6.7%,10.0%
r23,11.1%,0.0%
r18,20.0%,23.3%
r11,17.8%,22.2%
r27,100.0%,96.0%
r5,25.0%,25.0%
r17,3.3%,20.0%
r19,0.0%,100.0%
r8,90.0%,90.0%
r1,50.0%,70.0%
r30,6.7%,30.0%
r22,16.7%,14.3%
r26,0.0%,0.0%
r9,0.0%,27.3%
r14,46.7%,46.7%
r2,47.5%,0.0%
r20,22.5%,50.0%
r15,0.0%,26.7%
Total,34.2%,43.2%
