List,gaussian_mixture,kmeans
r31,0.0%,33.3%
r7,76.7%,76.7%
r10,0.0%,40.0%
r21,100.0%,0.0%
r34,40.0%,34.3%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,6.7%,40.0%
r13,40.0%,45.7%
r6,42.9%,42.9%
r29,32.7%,32.7%
r3,20.0%,20.0%
r24,7.5%,2.5%
r32,96.7%,96.7%
r16,10.0%,40.0%
r28,75.6%,24.4%
r25,3.3%,83.3%
r23,5.6%,5.6%
r18,16.7%,20.0%
r11,20.0%,48.9%
r27,96.0%,96.0%
r5,25.0%,42.5%
r17,3.3%,13.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,0.0%,3.3%
r22,0.0%,7.1%
r26,40.0%,0.0%
r9,100.0%,100.0%
r14,24.4%,4.4%
r2,30.0%,20.0%
r20,47.5%,47.5%
r15,76.7%,76.7%
Total,39.1%,41.3%
