List,gaussian_mixture,kmeans
r31,16.7%,50.0%
r7,0.0%,0.0%
r10,40.0%,0.0%
r21,25.0%,25.0%
r34,0.0%,5.7%
r4,20.0%,0.0%
r33,14.3%,100.0%
r12,3.3%,3.3%
r13,34.3%,14.3%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,6.7%,0.0%
r24,5.0%,15.0%
r32,100.0%,0.0%
r16,0.0%,0.0%
r28,33.3%,24.4%
r25,26.7%,56.7%
r23,16.7%,0.0%
r18,20.0%,20.0%
r11,8.9%,20.0%
r27,96.0%,96.0%
r5,27.5%,0.0%
r17,10.0%,0.0%
r19,0.0%,100.0%
r8,93.3%,93.3%
r1,56.7%,16.7%
r30,40.0%,13.3%
r22,9.5%,7.1%
r26,6.7%,0.0%
r9,0.0%,0.0%
r14,44.4%,0.0%
r2,0.0%,30.0%
r20,30.0%,5.0%
r15,0.0%,0.0%
Total,26.7%,23.3%
