List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,76.7%,76.7%
r10,0.0%,40.0%
r21,100.0%,0.0%
r34,17.1%,17.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,0.0%,40.0%
r13,40.0%,40.0%
r6,91.4%,94.3%
r29,7.7%,36.5%
r3,6.7%,13.3%
r24,17.5%,5.0%
r32,96.7%,96.7%
r16,30.0%,30.0%
r28,42.2%,42.2%
r25,83.3%,83.3%
r23,11.1%,5.6%
r18,10.0%,20.0%
r11,22.2%,24.4%
r27,0.0%,96.0%
r5,12.5%,25.0%
r17,13.3%,26.7%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,16.7%,70.0%
r30,26.7%,0.0%
r22,11.9%,2.4%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,22.2%,15.6%
r2,25.0%,30.0%
r20,75.0%,27.5%
r15,83.3%,0.0%
Total,36.0%,37.4%
