List,gaussian_mixture,kmeans
r31,50.0%,66.7%
r7,0.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,60.0%,57.1%
r4,60.0%,0.0%
r33,0.0%,0.0%
r12,3.3%,36.7%
r13,40.0%,5.7%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,80.0%,6.7%
r24,22.5%,5.0%
r32,100.0%,100.0%
r16,10.0%,0.0%
r28,42.2%,24.4%
r25,10.0%,3.3%
r23,5.6%,0.0%
r18,20.0%,20.0%
r11,13.3%,22.2%
r27,100.0%,100.0%
r5,2.5%,0.0%
r17,0.0%,0.0%
r19,100.0%,100.0%
r8,0.0%,96.7%
r1,0.0%,70.0%
r30,36.7%,6.7%
r22,2.4%,11.9%
r26,20.0%,20.0%
r9,0.0%,0.0%
r14,60.0%,64.4%
r2,2.5%,32.5%
r20,32.5%,22.5%
r15,0.0%,0.0%
Total,27.4%,29.3%
