List,gaussian_mixture,kmeans
r31,0.0%,83.3%
r7,100.0%,0.0%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,10.0%,0.0%
r33,100.0%,0.0%
r12,40.0%,36.7%
r13,2.9%,17.1%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,2.5%,7.5%
r32,0.0%,0.0%
r16,43.3%,0.0%
r28,24.4%,0.0%
r25,3.3%,6.7%
r23,0.0%,0.0%
r18,20.0%,3.3%
r11,13.3%,2.2%
r27,96.0%,96.0%
r5,5.0%,60.0%
r17,6.7%,3.3%
r19,100.0%,0.0%
r8,0.0%,93.3%
r1,70.0%,70.0%
r30,46.7%,46.7%
r22,0.0%,9.5%
r26,6.7%,0.0%
r9,4.5%,13.6%
r14,64.4%,64.4%
r2,47.5%,27.5%
r20,5.0%,42.5%
r15,26.7%,26.7%
Total,29.5%,28.7%
