List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,73.3%,26.7%
r10,20.0%,40.0%
r21,75.0%,75.0%
r34,2.9%,5.7%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,6.7%,40.0%
r13,94.3%,94.3%
r6,54.3%,54.3%
r29,100.0%,90.4%
r3,6.7%,13.3%
r24,7.5%,15.0%
r32,0.0%,0.0%
r16,46.7%,43.3%
r28,42.2%,57.8%
r25,83.3%,83.3%
r23,5.6%,5.6%
r18,20.0%,23.3%
r11,73.3%,0.0%
r27,100.0%,100.0%
r5,50.0%,55.0%
r17,20.0%,20.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,96.7%,96.7%
r30,3.3%,6.7%
r22,2.4%,9.5%
r26,0.0%,0.0%
r9,100.0%,100.0%
r14,57.8%,0.0%
r2,32.5%,62.5%
r20,22.5%,72.5%
r15,93.3%,93.3%
Total,47.8%,46.0%
